SITE_ID,NEW_AREA_NAME,SITE_RANKED_NGR,SITE_RANKED_EASTING,SITE_RANKED_NORTHING,N_SURVEYS,FIRST_SURVEY,LAST_SURVEY
16848,Northumbria,NY9130086700,391300,586700,1,22/08/2005,22/08/2005
7997,Lincolnshire and Northamptonshire,TF1290058700,512900,358700,1,05/03/2002,05/03/2002
3751,Yorkshire,SE5941344435,459413,444435,22,22/07/1996,28/06/2019
67,Essex Norfolk and Suffolk,TM1480041500,614800,241500,3,28/03/1989,02/04/1996
1360,Shropshire Herefordshire Worcestershire and Gloucestershire,SO5320088200,353200,288200,5,26/06/1991,04/07/2014
25918,Cambridgeshire and Bedfordshire,SP9420821326,494208,221326,2,12/04/2007,18/06/2013
5516,Cumbria and Lancashire,SD5577097365,355770,497365,7,20/08/1993,30/06/2023
30153,Wessex,ST8350028400,383500,128400,1,31/03/2004,31/03/2004
10774,Shropshire Herefordshire Worcestershire and Gloucestershire,SO5277315460,352773,215460,6,11/08/1997,22/09/2014
21003,Essex Norfolk and Suffolk,TG1652420291,616524,320291,3,18/12/2003,27/03/2015
12600,Wessex,ST3240019900,332400,119900,1,20/08/1992,20/08/1992
12619,Wessex,ST4150445862,341504,145862,1,20/10/1992,20/10/1992
10084,Cumbria and Lancashire,NY6762805320,367628,505320,3,20/08/1991,17/09/2002
9320,Devon and Cornwall,SX8580057700,285800,57700,3,04/06/1996,06/09/2002
78850,Devon and Cornwall,SX4668271801,246682,71801,2,13/07/2023,04/07/2024
16030,Devon and Cornwall,SX3962084936,239620,84936,1,05/09/2005,05/09/2005
6317,Shropshire Herefordshire Worcestershire and Gloucestershire,SO8450005200,384500,205200,4,18/03/1992,24/08/2011
6486,Greater Manchester Merseyside and Cheshire,SJ9000577170,390005,377170,4,18/08/1993,21/09/2022
69003,Cambridgeshire and Bedfordshire,TF7226211955,572262,311955,1,14/03/2017,14/03/2017
31145,Cumbria and Lancashire,SD5577051909,355770,451909,1,27/07/1999,27/07/1999
61764,Cumbria and Lancashire,NY5106715994,351067,515994,3,08/07/2014,25/07/2022
50803,Hertfordshire and North London,TQ0554179511,505541,179511,2,24/09/2013,30/09/2014
26640,Northumbria,NZ2620015500,426200,515500,1,27/06/2007,27/06/2007
10497,Devon and Cornwall,SX1703086481,217030,86481,10,07/08/1999,18/07/2024
7561,Cumbria and Lancashire,SD8319257691,383192,457691,4,25/08/1992,10/10/2008
75024,West Thames,SU8850052000,488500,152000,1,19/12/1990,19/12/1990
41500,Cumbria and Lancashire,SD6345054450,363450,454450,16,20/07/2011,05/10/2018
17791,Cumbria and Lancashire,NY5058688177,350586,588177,3,14/09/2005,18/08/2021
69226,Yorkshire,SE1671179986,416711,479986,3,27/09/2016,04/10/2018
5313,Cumbria and Lancashire,NY6760016900,367600,516900,4,10/07/2002,05/08/2021
8573,Devon and Cornwall,SS2050014700,220500,114700,1,14/11/2002,14/11/2002
13581,Wessex,ST6820039000,368200,139000,1,25/09/1990,25/09/1990
7973,Lincolnshire and Northamptonshire,TF4320096000,543200,396000,1,05/11/1986,05/11/1986
9402,Devon and Cornwall,SX6319055460,263190,55460,12,11/09/1997,08/09/2023
28918,Wessex,SU0830235574,408302,135574,1,16/10/2007,16/10/2007
